FID,PublicAddress,ControlNbr,CCN,Precinct,ReportedDate,BeginDate,Time,Offense,Description,UCRCode,EnteredDate,GBSID,Lat,Long,X,Y,Neighborhood,LastChanged,LastUpdateDate
1,0004XX 46 ST E,3743885,MP 2018 066210,3,2018/03/02 09:27:00,2018/03/02 03:37:59,03:38:00,BURGB,Burglary Of Business,6,2018/03/02 09:12:42,12980,44.9197048,-93.26960769,"-10,382,725.2346","5,608,889.4949",REGINA,2018/03/06 10:23:05,2018/03/06 20:00:34
2,0010XX 8 ST SE,3744361,MP 2018 068876,2,2018/03/04 19:37:00,2018/03/03 23:00:00,23:00:00,AUTOTH,Motor Vehicle Theft,8,2018/03/04 19:36:52,17645,44.9863506,-93.23751429,"-10,379,152.6139","5,619,372.9229",MARCY HOLMES,2018/03/06 05:16:34,2018/03/06 20:00:34
3,0008XX 13 AV SE,3744399,MP 2018 069260,2,2018/03/04 23:39:00,2018/03/04 02:00:00,02:00:00,TFMV,Theft From Motr Vehc,7,2018/03/04 23:39:10,16832,44.98531447,-93.23374831,"-10,378,733.3871","5,619,209.8457",MARCY HOLMES,2018/03/06 05:09:24,2018/03/06 20:00:34
4,0002XX Hennepin AV S,3744486,MP 2018 066884,1,2018/03/05 11:29:59,2018/03/02 18:11:00,18:11:00,SHOPLF,Shoplifting,7,2018/03/05 11:17:02,21314,44.982576,-93.26841736,"-10,382,592.7271","5,618,778.8502",NORTH LOOP,2018/03/05 22:21:59,2018/03/06 20:00:34
5,0015XX New Brighton BL ,3744556,MP 2018 069895,2,2018/03/05 15:27:00,2018/03/05 14:23:59,14:24:00,THEFT,Other Theft,7,2018/03/05 15:27:08,21511,45.00363907,-93.22883412,"-10,378,186.3417","5,622,094.4019",NORTHEAST PARK,2018/03/06 10:06:59,2018/03/06 20:00:34
6,0003XX Quincy ST NE,3744565,MP 2018 069940,2,2018/03/05 16:38:00,2018/02/10 23:29:59,23:30:00,TFMV,Theft From Motr Vehc,7,2018/03/05 16:22:16,17548,44.9944422,-93.25114969,"-10,380,670.4999","5,620,646.5662",ST. ANTHONY EAST,2018/03/06 05:10:53,2018/03/06 20:00:34
7,0006XX 7 ST S,3744573,MP 2018 070050,1,2018/03/05 17:32:59,2018/03/05 17:00:00,17:00:00,AUTOTH,Motor Vehicle Theft,8,2018/03/05 17:33:34,18593,44.9731367,-93.26339055,"-10,382,033.1453","5,617,293.4003",ELLIOT PARK,2018/03/05 22:27:06,2018/03/06 20:00:34
8,0033XX Emerson AV N,3744590,MP 2018 070113,4,2018/03/05 18:55:00,2018/03/05 18:00:00,18:00:00,BURGD,Burglary Of Dwelling,6,2018/03/05 18:54:06,19818,45.01583896,-93.29433053,"-10,385,477.369","5,624,015.3514",FOLWELL,2018/03/05 22:08:03,2018/03/06 20:00:34
9,0024XX Bloomington AV S,3744597,MP 2018 070163,3,2018/03/05 19:47:00,2018/03/05 18:49:59,18:50:00,AUTOTH,Motor Vehicle Theft,8,2018/03/05 19:47:18,21469,44.95823569,-93.25239248,"-10,380,808.8457","5,614,948.9445",EAST PHILLIPS,2018/03/05 22:09:07,2018/03/06 20:00:34
10,1 ST N / 4 AV N,3744600,MP 2018 070236,1,2018/03/05 20:16:59,2018/03/05 14:00:00,14:00:00,AUTOTH,Motor Vehicle Theft,8,2018/03/05 20:16:48,,44.98699,-93.2713,"-10,382,913.25","5,619,473.2",NORTH LOOP,2018/03/05 22:21:18,2018/03/06 20:00:34
