description,offense,Lat,Long,community_id,incident_id,neighborhood_id
Other Vehicle Theft,MVTHFT,44.986733798478234,-93.27703048239128,5.630434782608695,8192.358695652174,59.78260869565217
POCKET-PICKING                ,POCKET  ,44.97689959791668,-93.265595905,4.333333333333333,21221.916666666668,66.875
Pocket-picking,POCKET,44.982927243333336,-93.24616581333333,8.333333333333334,14493.0,58.0
ROBBERY OF BUSINESS           ,ROBBIZ  ,44.9607828267066,-93.26770168185634,6.059880239520958,23056.550898203594,49.73053892215569
ROBBERY OF PERSON             ,ROBPER  ,44.928741785124295,-93.17804204064676,5.525373134328358,20691.390049751244,61.89054726368159
ROBBERY PER AGG               ,ROBPAG  ,44.97515652997687,-93.2745200805381,5.6587240584166025,21800.88086087625,57.07302075326672
Robbery Of Business,ROBBIZ,44.966302652350095,-93.2676405746762,5.9928057553956835,10527.47242206235,51.02877697841727
Robbery Of Person,ROBPER,44.9710862055009,-93.27062763991893,5.7111913357400725,9595.887635379062,58.96976534296029
Robbery Per Agg,ROBPAG,44.9756347922215,-93.27313953375011,5.818614130434782,10022.067595108696,57.74524456521739
SCRAPPING-RECYCLING THEFT     ,SCRAP   ,44.98636885833333,-93.24659332333333,9.333333333333334,23469.666666666668,47.5
SHOPLIFTING                   ,SHOPLF  ,44.960059381775594,-93.25976457300474,5.120194910665945,21515.414185165133,51.40498105035192
Scrapping-Recycling Theft,SCRAP,44.971500325,-93.232292855,9.5,6424.0,40.875
Shoplifting,SHOPLF,44.96001082955329,-93.26104458771822,4.878944174757281,9495.203276699029,53.92870145631068
THEFT BY SWINDLE              ,THFTSW  ,44.853754923006385,-93.03074087235652,5.649681528662421,22948.00891719745,51.48407643312102
THEFT FROM BUILDING           ,TBLDG   ,44.86292191499996,-93.04176156941459,5.331707317073171,23035.429268292683,55.75365853658536
THEFT FROM MOTR VEHC          ,TFMV    ,44.94670413328354,-93.2330499152636,5.946370725854829,21942.002639472106,47.685902819436116
THEFT FROM PERSON SNATCH/GRAB ,TFPER   ,44.97379398929036,-93.27044448169356,5.075806451612904,20820.766129032258,62.708064516129035
THEFT-MOTR VEH PARTS          ,TMVP    ,44.956777945872204,-93.25758562443211,6.349898580121704,23934.7738336714,47.82961460446248
THEFT/COINOP DEVICE           ,COINOP  ,44.95769707750001,-93.27368982833333,4.75,21778.75,57.416666666666664
Theft By Computer,COMPUT,44.974032124999994,-93.25985106428573,6.142857142857143,10376.5,45.57142857142857
Theft By Swindle,THFTSW,44.97153690845602,-93.26853254087693,5.5850877192982455,9182.984210526316,53.34736842105263
Theft From Building,TBLDG,44.97878793375779,-93.27275570263967,5.437888198757764,8925.962732919255,56.77639751552795
Theft From Motr Vehc,TFMV,44.962895955701036,-93.26798775035712,5.940931941221964,9806.194702242847,48.48356535189482
Theft From Person,TFPER,44.974496481706154,-93.27110740842664,4.986729857819905,9598.873933649289,61.049289099526064
Theft-motr Veh Parts,TMVP,44.96067898765768,-93.25736468003004,6.576576576576577,9094.951951951953,46.85585585585586
Theft/coinop Device,COINOP,44.94867209452382,-93.24914980380954,7.261904761904762,12296.404761904761,51.42857142857143
