Description,p-value,police force incidents (avg per neighborhood)
Asian,0.003099836139189588,10.717948717948717
Black,0.053440710970622925,210.14117647058825
Native American,0.010876373194916512,21.242857142857144
Other/Mixed,0.0048273752237824675,14.931506849315069
White,,81.5813953488372
